  0.10880100000000001        417.88030296746376        417.87099520964659        24.905254559148403     	  0.10880100000000001        4.5514258079176931E-002   0.0000000000000000        302.18910452484658     
  0.12522300000000000        417.87910246260634        417.86956582295335        24.905727581459153     	  0.12522300000000000        4.5155421386986652E-002   0.0000000000000000        302.18596877377695     
  0.14575199999999999        417.87844861167929        417.86744331357897        24.905753330485567     	  0.14575199999999999        4.4867022117356152E-002   0.0000000000000000        302.19023523294982     
  0.16833300000000001        417.87608187644787        417.86515668699013        24.904536441843383     	  0.16833300000000001        4.8512932014639687E-002   0.0000000000000000        302.19060756010907     
  0.19502100000000000        417.87433131735401        417.86252111813076        24.904137805684250     	  0.19502100000000000        5.1131087584874828E-002   0.0000000000000000        302.19126340163899     
  0.22376000000000001        417.87173727377552        417.85976304256974        24.902628138843543     	  0.22376000000000001        5.4199943249074643E-002   0.0000000000000000        302.19207382169566     
  0.25865700000000003        417.86897273783757        417.85659796341895        24.902625273337350     	  0.25865700000000003        5.7145415455177477E-002   0.0000000000000000        302.19209350119223     
  0.29766200000000004        417.86715762716261        417.85326078853495        24.902305787194731     	  0.29766200000000004        6.0039736488865569E-002   0.0000000000000000        302.19233893815840     
  0.34076999999999996        417.86527256213310        417.84979262414026        24.902790247646429     	  0.34076999999999996        6.3100166290772294E-002   0.0000000000000000        302.19261528825638     
  0.39004100000000003        417.86270351363135        417.84601429638889        24.902139834534854     	  0.39004100000000003        6.7007964926204880E-002   0.0000000000000000        302.19247671678471     
  0.44957299999999994        417.85979175766147        417.84169872171714        24.902079743861368     	  0.44957299999999994        6.9962289359391222E-002   0.0000000000000000        302.19157748674422     
  0.51321300000000003        417.85758856265130        417.83722575948013        24.902465971678112     	  0.51321300000000003        7.4185608865983077E-002   0.0000000000000000        302.19236561213285     
  0.58711500000000005        417.85507457236878        417.83213684854326        24.901384492658682     	  0.58711500000000005        7.8940075358236453E-002   0.0000000000000000        302.19261910588011     
  0.67128100000000002        417.85094467006559        417.82642382222957        24.900349741529965     	  0.67128100000000002        8.3491397182701876E-002   0.0000000000000000        302.19243943880207     
  0.76571000000000000        417.85374540604340        417.81797477111189        24.901230395977041     	  0.76571000000000000        8.9054422966009295E-002   0.0000000000000000        302.19290944657308     
  0.87245800000000007        417.85161224256319        417.80840937270574        24.900448712445264     	  0.87245800000000007        9.4494675740752238E-002   0.0000000000000000        302.19272125510372     
  0.99563000000000001        417.84973438596586        417.79732643766351        24.900284023978330     	  0.99563000000000001       0.10110823427906732        0.0000000000000000        302.19321311683910     
   1.1311199999999999        417.84495776590990        417.78532595754660        24.900519374929203     	   1.1311199999999999       0.10828352839560949        0.0000000000000000        302.19322156021104     
   1.2850800000000000        417.83917719412852        417.77194562799082        24.892777059025185     	   1.2850800000000000       0.11668592986828154        0.0000000000000000        302.19332867559558     
   1.4595700000000000        417.82642409220290        417.75707576359923        24.884531282038079     	   1.4595700000000000       0.12616505235232903        0.0000000000000000        302.19330718651474     
   1.6546000000000001        417.81610529154091        417.74084339600972        24.876035218203931     	   1.6546000000000001       0.13656751009243873        0.0000000000000000        302.19335722026739     
   1.8722000000000001        417.80852574408294        417.72308589081177        24.868597171509940     	   1.8722000000000001       0.14879594442400035        0.0000000000000000        302.19395198939532     
   2.1185300000000002        417.79692112817304        417.70345824303746        24.860380815429526     	   2.1185300000000002       0.16171196640461222        0.0000000000000000        302.19391287107123     
   2.3956700000000000        417.79372173434018        417.68179827218137        24.854279954647609     	   2.3956700000000000       0.17628822959310406        0.0000000000000000        302.19440670010857     
   2.7035899999999997        417.78624610002998        417.65804800979981        24.844811669222359     	   2.7035899999999997       0.19256901095690748        0.0000000000000000        302.19465618049156     
   3.0464199999999999        417.78067706320184        417.63178044755210        24.836674499578962     	   3.0464199999999999       0.21165547084937794        0.0000000000000000        302.19512138638225     
   3.4302999999999999        417.77348516475172        417.60256831631182        24.829560915178345     	   3.4302999999999999       0.23298406010534117        0.0000000000000000        302.19525667242800     
   3.8593500000000001        417.76389218954813        417.57007739329862        24.822610740156172     	   3.8593500000000001       0.25691128349301812        0.0000000000000000        302.19556839474541     
   4.3376600000000005        417.74732325053287        417.53404026521844        24.814412509333231     	   4.3376600000000005       0.28227363115256698        0.0000000000000000        302.19553783500476     
   4.8673000000000002        417.73874926918285        417.49428361230338        24.807446835036078     	   4.8673000000000002       0.31023376851782003        0.0000000000000000        302.19646870346304     
   5.4564700000000004        417.72387543907945        417.45021646121802        24.799023702804003     	   5.4564700000000004       0.34013764692304838        0.0000000000000000        302.19698525092440     
