   9.9999997473787525E-007   680.55434018373489        680.55518782138824        49.157797303882035     	   9.9999997473787525E-007  -1.8465640209797130E-005   0.0000000000000000        273.04217499494553     
  0.10740500000000001        680.51198810338974        680.51168513298035        49.157772275315438     	  0.10740500000000001       0.12901123892203259        0.0000000000000000        273.17120367288589     
  0.12361599999999999        680.49888446927071        680.49773409962654        49.157327053761037     	  0.12361599999999999       0.21021129564201146        0.0000000000000000        273.17119997739792     
  0.14388199999999998        680.48545277118683        680.48311075568199        49.159226229718115     	  0.14388199999999998       0.26405269039020141        0.0000000000000000        273.17120069265366     
  0.16600199966799495        680.47373762726784        680.46911996603012        49.160899191723729     	  0.16600199966799495       0.30613502781336877        0.0000000000000000        273.17120331525803     
  0.19200199961599496        680.46051806211472        680.45429420471191        49.159860399862737     	  0.19200199961599496       0.34654287392390870        0.0000000000000000        273.17120593786240     
  0.22100199955799496        680.44897258281708        680.43944835662842        49.159029970394840     	  0.22100199955799496       0.38547884578946423        0.0000000000000000        273.17120712995529     
  0.25500199948999497        680.43569648265839        680.42365875840187        49.156956553502823     	  0.25500199948999497       0.42609044218306735        0.0000000000000000        273.18655139207840     
  0.29300199941399496        680.42348057031631        680.40754505991936        49.155848015119773     	  0.29300199941399496       0.46704025508950053        0.0000000000000000        273.18655592203140     
  0.33700199932599495        680.41098630428314        680.38999143242836        49.153597451504538     	  0.33700199932599495       0.51025233228563138        0.0000000000000000        273.18656140565872     
  0.38600199922799500        680.39780151844025        680.37188684940338        49.151804285420440     	  0.38600199922799500       0.55433094284035178        0.0000000000000000        273.18656665086746     
  0.44300199911399496        680.38398644328117        680.35189485549927        49.150258466112064     	  0.44300199911399496       0.60151211227258727        0.0000000000000000        273.18657785654068     
  0.50700199898599496        680.36856064200401        680.33086773753166        49.146888755492910     	  0.50700199898599496       0.65033926935586805        0.0000000000000000        273.20558935403824     
  0.58000199883999493        680.35331338644028        680.30826264619827        49.144184808097634     	  0.58000199883999493       0.70181838071596303        0.0000000000000000        273.20560067892075     
  0.66300199867399490        680.33681878447533        680.28356048464775        49.140682497412854     	  0.66300199867399490       0.75599637997720492        0.0000000000000000        273.22180253267288     
  0.75600199848799510        680.31848669052124        680.25708770751953        49.137287459907384     	  0.75600199848799510       0.81227352617020188        0.0000000000000000        273.25127428770065     
  0.86200199827599500        680.30369079113007        680.22786408662796        49.134212135457346     	  0.86200199827599500       0.87186411536754349        0.0000000000000000        273.25129419565201     
  0.98200199803599508        680.28389769792557        680.19606670737267        49.130538049512325     	  0.98200199803599508       0.93459753969870007        0.0000000000000000        273.25131911039352     
   1.1170019977659948        680.25819271802902        680.15898334980011        49.124063576220578     	   1.1170019977659948        1.0168395789958140        0.0000000000000000        273.25134843587875     
   1.2690019974619948        680.23324730992317        680.11511105298996        49.119322503311196     	   1.2690019974619948        1.1230385342002478        0.0000000000000000        273.25138348340988     
   1.4400019971199951        680.20251628756523        680.06464454531670        49.112433962742216     	   1.4400019971199951        1.2515816915877167        0.0000000000000000        273.25713986158371     
   1.6330019967339948        680.16932600736618        680.00684693455696        49.105834287465768     	   1.6330019967339948        1.4017317264974736        0.0000000000000000        273.25719779729843     
   1.8490019963019946        680.12566122412682        679.94254583120346        49.097022588437540     	   1.8490019963019946        1.5712173518331838        0.0000000000000000        273.25726920366287     
   2.0920019958159952        680.08266425132751        679.87109851837158        49.087875694105605     	   2.0920019958159952        1.7603034823832786        0.0000000000000000        273.25735455751419     
   2.3640019952719951        680.03300923109055        679.79313883185387        49.079683392683364     	   2.3640019952719951        1.9675250705049621        0.0000000000000000        273.27159589529037     
   2.6680019946639946        679.98362839221954        679.70853054523468        49.069251611283107     	   2.6680019946639946        2.1920760096759295        0.0000000000000000        273.27172452211380     
   3.0080019939839944        679.93129593133926        679.61734214425087        49.059732051939136     	   3.0080019939839944        2.4336612372644595        0.0000000000000000        273.27985590696335     
   3.3870019932259949        679.87381812930107        679.51965925097466        49.047410255230716     	   3.3870019932259949        2.6909348477283856        0.0000000000000000        273.28004497289658     
   3.8100019923799948        679.81491577625275        679.41515704989433        49.034931345246150     	   3.8100019923799948        2.9637184107009489        0.0000000000000000        273.29689341783524     
   4.2810019914379946        679.75296950340271        679.30337277054787        49.019190622389942     	   4.2810019914379946        3.2508254137342192        0.0000000000000000        273.30049484968185     
   4.8050019903899956        679.69236057996750        679.18404072523117        49.003720352571690     	   4.8050019903899956        3.5514672431836516        0.0000000000000000        273.31734806299210     
   5.3870019892259950        679.62676241993904        679.05649663507938        48.986619569541290     	   5.3870019892259950        3.8645118282514943        0.0000000000000000        273.32079547643661     
   6.0330019879339956        679.55902379751205        678.91995221376419        48.968393399833076     	   6.0330019879339956        4.1890752596649463        0.0000000000000000        273.32123857736588     
   6.7490019865019937        679.49019877612591        678.77348697185516        48.947645227199246     	   6.7490019865019937        4.5239461741066407        0.0000000000000000        273.32175844907761     
   7.5420019849159949        679.42156158387661        678.61566312611103        48.925128266726460     	   7.5420019849159949        4.8680633079811741        0.0000000000000000        273.33392542600632     
   8.4180019831639950        679.34492565691471        678.44572521746159        48.900578536113244     	   8.4180019831639950        5.2196730127830051        0.0000000000000000        273.33462351560593     
   9.3860019812279951        679.26943512260914        678.26191249489784        48.874727274142060     	   9.3860019812279951        5.5779871023416661        0.0000000000000000        273.33543962240219     
   10.453001979093994        679.18578833341599        678.06105871498585        48.849532402877230     	   10.453001979093994        5.9605081098472965        0.0000000000000000        273.35505479574203     
   11.628001976743995        679.08892416954041        677.83646619319916        48.815879324911293     	   11.628001976743995        6.4067454073770023        0.0000000000000000        273.36488884687424     
   12.922001974155995        678.98351667821407        677.58760158717632        48.780939119611503     	   12.922001974155995        6.8998723424425634        0.0000000000000000        273.38609081506729     
   14.343001971313996        678.86230301856995        677.31422717869282        48.744081818724226     	   14.343001971313996        7.4218304760577212        0.0000000000000000        273.40737003087997     
   15.903001968193996        678.72728125751019        677.01575514674187        48.700086896795256     	   15.903001968193996        7.9577562629265230        0.0000000000000000        273.41000646352768     
   17.613001964773996        678.58553653955460        676.69153706729412        48.652671320298396     	   17.613001964773996        8.4948803877636010        0.0000000000000000        273.43850225210190     
   19.485001961029994        678.43330162763596        676.34099190682173        48.600818865710607     	   19.485001961029994        9.0236661048911628        0.0000000000000000        273.45524501800537     
   21.531001956937995        678.26459505409002        675.96015328168869        48.543630584928906     	   21.531001956937995        9.6770637112645090        0.0000000000000000        273.49785029888153     
   23.768001952463997        678.08460551500320        675.54500839114189        48.481028725804208     	   23.768001952463997        10.295914308021111        0.0000000000000000        273.52836847305298     
   26.206001947587996        677.89097590744495        675.09744866937399        48.413325704765157     	   26.206001947587996        10.886761098435272        0.0000000000000000        273.55966484546661     
   28.864001942271997        677.68595469743013        674.61631000787020        48.339783098504995     	   28.864001942271997        11.460820836089852        0.0000000000000000        273.58343255519867     
   31.754001936491992        677.46754349023104        674.10082377493382        48.253313864235679     	   31.754001936491992        12.021788026848753        0.0000000000000000        273.61974483728409     
   34.897001930205995        677.23746242374182        673.54908324033022        48.161839247368334     	   34.897001930205995        12.572889627789664        0.0000000000000000        273.64156401157379     
   38.306001923387996        676.99678245186806        672.96088777482510        48.061232795407705     	   38.306001923387996        13.115382368083374        0.0000000000000000        273.67413914203644     
   42.002001915995990        676.74010740965605        672.33471997082233        47.951811175862531     	   42.002001915995990        13.651914763486275        0.0000000000000000        273.70964676141739     
   46.004001907991999        676.47478145360947        671.66935801506042        47.834121282397973     	   46.004001907991999        14.184450915279740        0.0000000000000000        273.74141842126846     
   50.332001899335999        676.19709064811468        670.96334380283952        47.707155825668451     	   50.332001899335999        14.714666350027983        0.0000000000000000        273.83657628297806     
   55.004001889991990        675.89944992959499        670.20972815528512        47.563088648566918     	   55.004001889991990        15.272115101412055        0.0000000000000000        273.88942581415176     
   60.045001879909996        675.58427142351866        669.40697582811117        47.403310334342677     	   60.045001879909996        15.854793421262002        0.0000000000000000        273.93575429916382     
   65.473001869054002        675.25262079015374        668.55485220998526        47.232345211650681     	   65.473001869054002        16.457960055966396        0.0000000000000000        274.00949656963348     
   71.314001857371991        674.89596418663859        667.65153190121055        47.045307010837860     	   71.314001857371991        17.078532974919653        0.0000000000000000        274.07810103893280     
   77.588001844824007        674.52644952759147        666.69587931036949        46.843256319702050     	   77.588001844824007        17.713301387047977        0.0000000000000000        274.16082233190536     
   84.322001831355990        674.13402489945292        665.68551395088434        46.618170459885732     	   84.322001831355990        18.360236438747961        0.0000000000000000        274.35904210805893     
   91.539001816921996        673.71648924797773        664.61862239241600        46.373228732809366     	   91.539001816921996        19.017181536532007        0.0000000000000000        274.46135187149048     
   99.261001801478002        673.27820852957666        663.49364244937897        46.106149567029206     	   99.261001801478002        19.682184049364878        0.0000000000000000        274.55783993005753     
   107.51700178496600        672.80247427150607        662.30134706571698        45.827359380702546     	   107.51700178496600        20.396007942646975        0.0000000000000000        274.71379417181015     
   116.32700176734599        672.29135761968791        661.03972174227238        45.512183306760562     	   116.32700176734599        21.162834698101506        0.0000000000000000        274.86008930206299     
   125.72300174855400        671.74866276979446        659.70754042454064        45.175503168444266     	   125.72300174855400        21.972314623882994        0.0000000000000000        275.04837101697922     
   135.72400172855200        671.16577027179301        658.30540036689490        44.807371001115825     	   135.72400172855200        22.814283522282494        0.0000000000000000        275.28927654027939     
   146.35800170728399        670.54261725395918        656.83268907666206        44.434777697373647     	   146.35800170728399        23.680877905979287        0.0000000000000000        275.59914165735245     
   157.65000168470002        669.88222104590386        655.28676981944591        44.009161467816739     	   157.65000168470002        24.646904606081080        0.0000000000000000        276.04114228487015     
   169.62600166074802        669.17045117262751        653.66334274457768        43.550914717925480     	   169.62600166074802        25.792144126724452        0.0000000000000000        276.63650465011597     
   182.30900163538200        668.41318960860372        651.96177380788140        43.059237302215479     	   182.30900163538200        27.052557884424459        0.0000000000000000        277.44043713808060     
   195.72000160856001        667.60302908159792        650.18212238885462        42.529795765229210     	   195.72000160856001        28.397581066645216        0.0000000000000000        278.17564696073532     
   209.88100158023801        666.73640402778983        648.32393949036486        41.995704725864925     	   209.88100158023801        29.828089189599268        0.0000000000000000        279.15034896135330     
   224.81800155036399        665.76557290926576        646.33767189166974        41.386929020944081     	   224.81800155036399        32.461537883151323        0.0000000000000000        281.00154161453247     
   240.55400151889199        664.67020194511861        644.20412728638621        40.738843026949326     	   240.55400151889199        36.019811552949250        0.0000000000000000        283.05854225158691     
   257.10900148578196        663.42448421474546        641.90203058550833        40.044824124615843     	   257.10900148578196        40.460624733241275        0.0000000000000000        285.31776601076126     
   274.50300145099402        662.00013706833124        639.41085309027403        39.335441179206100     	   274.50300145099402        45.783723922213539        0.0000000000000000        287.90096139907837     
   292.73500141453002        660.39311516471207        636.72204202287685        38.568797750209342     	   292.73500141453002        51.971071400213987        0.0000000000000000        290.88753086328506     
   311.82600137634796        658.57371347956359        633.81973926901992        37.732663736598624     	   311.82600137634796        58.985868664458394        0.0000000000000000        293.91336995363235     
   331.81600133636800        656.52318329177797        630.68144823748992        36.878719484891917     	   331.81600133636800        66.802549249492586        0.0000000000000000        297.31830853223801     
   352.66400129467200        654.22406479157507        627.29578639751253        35.940190716159123     	   352.66400129467200        75.336089803837240        0.0000000000000000        300.95493060350418     
   374.43100125113801        651.64282702282071        623.63413384676130        34.946946100644709     	   374.43100125113801        84.541836898773909        0.0000000000000000        304.86961126327515     
   397.09600120580797        648.76466523483396        619.68300492755077        33.921740917903662     	   397.09600120580797        94.364792948588729        0.0000000000000000        309.11461043357849     
   420.66100115867795        645.57819346338511        615.43728336357481        32.853112395685457     	   420.66100115867795        104.71368152275681        0.0000000000000000        313.67283248901367     
   445.12300110975394        642.08158014714718        610.89633154499029        31.693428157115704     	   445.12300110975394        115.55254821479321        0.0000000000000000        318.60462093353271     
   470.48500105902997        638.27084914781153        606.06513749621922        30.475060290456895     	   470.48500105902997        127.41399045661092        0.0000000000000000        323.90382063388824     
   496.74500100650999        634.14012878015637        600.94348629750311        29.197980629956874     	   496.74500100650999        140.38899892568588        0.0000000000000000        329.46601152420044     
   523.88400095223199        629.66680255346000        595.50825290987268        27.896842549602297     	   523.88400095223199        154.44281975924969        0.0000000000000000        335.48056530952454     
   551.88100089623799        624.84572296449915        589.76038144831546        26.503867880361213     	   551.88100089623799        169.30646594613791        0.0000000000000000        341.99558806419373     
   580.75700083848596        619.70065531495493        583.72797490621451        25.052127765240584     	   580.75700083848596        184.54776892066002        0.0000000000000000        348.96469736099243     
   610.43200077913593        614.28423217416275        577.46513089447399        23.543257423372779     	   610.43200077913593        199.79320985078812        0.0000000000000000        356.19328022003174     
   640.92600071814798        608.62440559524111        571.00537795137279        21.975880316712392     	   640.92600071814798        214.86443014442921        0.0000000000000000        363.77722251415253     
   672.19800065560401        602.76044106361223        564.39109034086823        20.377105885847868     	   672.19800065560401        229.68968172371387        0.0000000000000000        371.60787069797516     
   704.21000059157984        596.72394423099468        557.66022509098684        18.695579021228241     	   704.21000059157984        244.27033212780952        0.0000000000000000        379.74583733081818     
   736.92000052616004        590.54221942799632        550.83697137094919        16.958916092433810     	   736.92000052616004        258.70412224531174        0.0000000000000000        387.92145693302155     
   770.30900045938188        584.21711445681285        543.93195127418016        15.166596339777243     	   770.30900045938188        273.12950056791306        0.0000000000000000        396.04648256301880     
   804.29700039140607        577.74142879468855        536.93772921449374        13.331490071385815     	   804.29700039140607        288.21332943439484        0.0000000000000000        404.16538083553314     
   838.86500032227002        571.04855550371576        529.79296487796978        11.430487668476417     	   838.86500032227002        305.33256334066391        0.0000000000000000        412.69737529754639     
   873.93200025213605        564.18916394130792        522.54965318164795        9.4762773683628438     	   873.93200025213605        323.75458890199661        0.0000000000000000        421.27755403518677     
   909.47800018104385        557.19926851021592        515.24730749125820        7.4650929563481441     	   909.47800018104385        342.91414940357208        0.0000000000000000        429.75160908699036     
   945.40300010919395        550.12549928820226        507.93934111535452        5.3993501487327649     	   945.40300010919395        362.21500170230865        0.0000000000000000        437.97317636013031     
   1000.0000000000000        539.15130370446423        496.79260466717460        2.1414903551692621     	   1000.0000000000000        390.72167015075684        0.0000000000000000        447.87772440910339     
